Test One

April-01-19,2:55:07 PM

(e.g.) Strength test for 0.5 inch diameter specimen without anealling.

01/04/2019,2:55:07 PM
Deflection (in),Force (lbf),Strain0,Strain1,Strain2,Strain3,Strain4,Strain5
        0.002222,         0.077906,        -0.813079,         8.742769, -0.009503,         0.000878, -0.004312,         0.009962
        0.008888,         0.493405,        -0.813403,         8.732063, -0.009503,         0.000230, -0.003663,         0.010286
        0.017776,         1.532151,        -0.813079,         8.743093, -0.009179,         0.000554, -0.003988,         0.010611
        0.028886,         2.363149,        -0.812754,         8.742769, -0.009827,         0.000554, -0.003988,         0.009962
        0.039996,         3.194146,        -0.813403,         8.731738, -0.009179,         0.000230, -0.004312,         0.009962
        0.053328,         3.817394,        -0.812754,         8.743418, -0.009503,         0.000878, -0.004312,         0.010611
        0.066660,         4.440642,        -0.813079,         8.734334, -0.009827,         0.000554, -0.003988,         0.009638
        0.079992,         5.063890,        -0.812754,         8.734009, -0.009503,         0.000554, -0.004312,         0.009962
        0.093324,         5.687139,        -0.813079,         8.733685, -0.009503,         0.000878, -0.003988,         0.010286
        0.106656,         6.518136,        -0.813403,         8.734334, -0.009503,         0.000554, -0.003988,         0.009962
        0.119988,         6.933635,        -0.813403,         8.734009, -0.009827,         0.000554, -0.004312,         0.009962
        0.133320,        23.969082,        -0.813403,         8.743742, -0.009827,         0.000554, -0.003988,         0.010286
        0.146652,        91.072121,        -0.813403,         8.732712, -0.009827,         0.000230, -0.004637,         0.009962
        0.162206,       190.376312,        -0.813403,         8.733036, -0.009503,         0.000230, -0.004312,         0.009962
        0.175538,       289.680511,        -0.813403,         8.732712, -0.009827,         0.000554, -0.003988,         0.009962
        0.188870,       240.651657,        -0.812754,         8.742769, -0.009503,         0.000554, -0.003988,         0.009962
        0.202202,        30.409311,        -0.813079,         8.732063, -0.009503,         0.000554, -0.003663,         0.010611
        0.217756,        11.296371,        -0.813403,         8.732063, -0.009503,         0.000554, -0.004637,         0.010286
        0.231088,         9.426627,        -0.813403,         8.732712, -0.009503,         0.000878, -0.004312,         0.010286
        0.244420,         9.011128,        -0.813079,         8.742445, -0.009503,         0.000554, -0.003988,         0.010611
        0.257752,         9.218878,        -0.813727,         8.735631, -0.009827,         0.000554, -0.004637,         0.009962
        0.266640,         9.011128,        -0.813079,         8.732387, -0.009827,         0.000554, -0.004312,         0.009962
