245C 4L Test 1, ,   ,Specimen slipped during test

April-01-19,2:20:49 PM

(e.g.) Strength test for 0.5 inch diameter specimen without anealling.

01/04/2019,2:20:49 PM
Deflection (in),Force (lbf),Strain0,Strain1,Strain2,Strain3,Strain4,Strain5
  9543417.076182,         6.258449,        -0.813403,         8.716165, -0.009503,         0.000554, -0.003988,         0.010611
  9543417.078404,         0.233718,        -0.812754,         8.715192, -0.009503,         0.000554, -0.003988,         0.010611
  9543417.082848,         1.272465,        -0.812754,         8.714868, -0.009503,         0.000554, -0.003988,         0.010935
  9543417.089514,         1.895713,        -0.812754,         8.726223, -0.009503,         0.000878, -0.003339,         0.010935
  9543417.098402,         1.895713,        -0.812430,         8.714868, -0.009179,         0.000230, -0.003663,         0.010611
  9543417.109512,        34.304611,        -0.812754,         8.727845, -0.009503,         0.000878, -0.003339,         0.010935
  9543417.120622,       176.197418,        -0.812430,         8.727845, -0.009179,         0.000554, -0.003663,         0.011260
  9543417.131732,       316.428223,        -0.812754,         8.727845, -0.008854,         0.000878, -0.003988,         0.010935
  9543417.142842,       334.917938,        -0.812430,         8.727845, -0.009503,         0.000230, -0.003663,         0.010935
  9543417.153952,       315.804993,        -0.813079,         8.716165, -0.009503,         0.000554, -0.003663,         0.010286
  9543417.167284,       289.005310,        -0.812430,         8.728494, -0.009503,         0.000554, -0.003663,         0.011260
  9543417.178394,       266.360626,        -0.812754,         8.727845, -0.008854,         0.000878, -0.003663,         0.010935
  9543417.191726,       248.909698,        -0.812754,         8.715841, -0.009503,         0.000878, -0.003663,         0.010611
  9543417.202836,       234.990479,        -0.813079,         8.726872, -0.009503,         0.000878, -0.003339,         0.011260
  9543417.216168,       225.226273,        -0.813079,         8.715192, -0.009179,         0.000878, -0.003663,         0.010611
  9543417.227278,       217.747284,        -0.812754,         8.727196, -0.009179,         0.000878, -0.003339,         0.010935
  9543417.240610,       211.307053,        -0.812754,         8.714543, -0.009503,         0.000878, -0.003988,         0.010611
  9543417.251720,       205.282333,        -0.812754,         8.726872, -0.009503,         0.000878, -0.003339,         0.010611
  9543417.265052,       199.465347,        -0.813403,         8.714543, -0.009179,         0.000878, -0.003988,         0.010611
  9543417.276162,       194.063858,        -0.813079,         8.721681, -0.009503,         0.000554, -0.003663,         0.010935
  9543417.289494,       189.285629,        -0.812754,         8.726223, -0.009503,         0.000554, -0.003663,         0.010611
  9543417.300604,       183.884140,        -0.812754,         8.715841, -0.009503,         0.000878, -0.003663,         0.010935
  9543417.313936,       178.898163,        -0.812430,         8.726872, -0.009179,         0.000554, -0.003339,         0.011260
  9543417.327268,       174.327682,        -0.812754,         8.717139, -0.009179,         0.000554, -0.003663,         0.010611
        0.006666,       169.549438,        -0.812754,         8.726872, -0.009179,         0.000554, -0.003663,         0.010611
        0.019998,       163.940201,        -0.813079,         8.729143, -0.009503,         0.000878, -0.003663,         0.010611
        0.033330,       158.746475,        -0.812754,         8.717788, -0.008854,         0.000554, -0.003663,         0.010286
        0.044440,       154.175995,        -0.812754,         8.715516, -0.009179,         0.000230, -0.003339,         0.010611
        0.059994,       148.982254,        -0.812430,         8.716490, -0.009179,         0.000878, -0.003663,         0.010611
        0.073326,       144.204025,        -0.812754,         8.728494, -0.009179,         0.000878, -0.003988,         0.010935
        0.086658,       138.387039,        -0.813079,         8.716165, -0.009179,         0.000230, -0.003339,         0.010286
        0.102212,       132.777802,        -0.812430,         8.726872, -0.009503,         0.000878, -0.003663,         0.010611
        0.119988,       129.246063,        -0.812754,         8.726872, -0.008854,         0.000554, -0.003663,         0.010935
        0.137764,       123.844582,        -0.812754,         8.727196, -0.008854,         0.000230, -0.003663,         0.010935
        0.155540,       117.612099,        -0.812430,         8.726547, -0.009503,         0.000554, -0.003663,         0.010611
        0.173316,       110.964119,        -0.812754,         8.714219, -0.008854,         0.000878, -0.003663,         0.010611
        0.193314,       105.354889,        -0.812754,         8.725898, -0.009179,         0.000554, -0.003663,         0.010611
        0.211090,        99.537910,        -0.813079,         8.724925, -0.009503,         0.000230, -0.003663,         0.010611
        0.231088,        90.396935,        -0.812754,         8.714543, -0.009179,         0.000230, -0.003663,         0.010611
        0.248864,        80.009468,        -0.812754,         8.725250, -0.009179,         0.000878, -0.003663,         0.010935
        0.268862,        72.114990,        -0.812754,         8.713894, -0.009503,         0.000554, -0.003339,         0.010611
        0.286638,        66.713509,        -0.812754,         8.725250, -0.009503,         0.000878, -0.003339,         0.011260
        0.306636,        55.079548,        -0.813079,         8.714219, -0.009503,         0.000230, -0.003988,         0.010611
        0.324412,        50.509060,        -0.812754,         8.726547, -0.009179,         0.000878, -0.003663,         0.010611
        0.342188,        46.977322,        -0.812430,         8.726223, -0.009179,         0.000878, -0.003339,         0.010611
        0.359964,        43.030083,        -0.812430,         8.727845, -0.009179,         0.000554, -0.003339,         0.010611
        0.373296,        35.966606,        -0.812430,         8.716165, -0.009503,         0.000554, -0.003663,         0.010611
        0.379962,        22.255150,        -0.812754,         8.717139, -0.009503,         0.000554, -0.004312,         0.010286
