Test One

April-01-19,4:53:30 PM

(e.g.) Strength test for 0.5 inch diameter specimen without anealling.

01/04/2019,4:53:30 PM
Deflection (in),Force (lbf),Strain0,Strain1,Strain2,Strain3,Strain4,Strain5
        0.002222,         0.233718,        -0.813079,         8.762884, -0.009827,         0.000554, -0.003988,         0.009962
        0.011110,         0.856966,        -0.813079,         8.763208, -0.009503,         0.000554, -0.003988,         0.010611
        0.022220,         1.272465,        -0.813079,         8.752826, -0.009827,         0.000554, -0.004312,         0.009962
        0.033330,         1.480214,        -0.813079,         8.762560, -0.009827,         0.000230, -0.003988,         0.009962
        0.046662,         4.596455,        -0.812754,         8.752178, -0.010152,         0.000878, -0.003988,         0.009638
        0.059994,       124.467827,        -0.813079,         8.752502, -0.010152,         0.000230, -0.004637,         0.009962
        0.073326,       373.767059,        -0.813079,         8.762235, -0.009503,         0.000554, -0.004312,         0.009962
        0.086658,       626.182495,        -0.813079,         8.762235, -0.009503,         0.000554, -0.003663,         0.009962
        0.099990,       869.570984,        -0.813079,         8.761586, -0.009827,         0.000230, -0.004312,         0.009962
        0.115544,      1035.135864,        -0.813403,         8.752502, -0.009827,         0.000230, -0.003988,         0.009962
        0.128876,       118.443100,        -0.812754,         8.762235, -0.009827,         0.000554, -0.004312,         0.010286
        0.144430,        16.438168,        -0.813403,         8.753151, -0.009827,         0.000230, -0.004312,         0.009638
        0.157762,         5.842950,        -0.813403,         8.762560, -0.010152,         0.000554, -0.004312,         0.009962
