Test One,,,Perfect layer adhesion,,,,
,,,,,,,
April-02-19,11:27:24 AM,,,,,,
,,,,,,,
(e.g.) Strength test for 0.5 inch diameter specimen without anealling.,,,,,,,
,,,,,,,
02/04/2019,11:27:24 AM,,,,,,
Deflection (in),Force (lbf),Strain0,Strain1,Strain2,Strain3,Strain4,Strain5
0.004444,1.038747,-0.814376,8.755746,-0.010476,0.000554,-0.004961,0.009313
0.013332,0.830997,-0.814376,8.756395,-0.010152,0.000554,-0.004961,0.009313
0.02222,1.661995,-0.814052,8.766777,-0.010476,0.00023,-0.004961,0.009638
0.031108,1.869744,-0.814376,8.757044,-0.010152,0.000554,-0.004961,0.009313
0.042218,2.077493,-0.814376,8.766777,-0.010476,0.00023,-0.004961,0.009962
0.053328,1.869744,-0.814052,8.767102,-0.009827,0.000554,-0.004961,0.009638
0.064438,37.187134,-0.814052,8.76775,-0.010476,0.000878,-0.004961,0.009638
0.075548,205.464111,-0.814052,8.76775,-0.010152,0.00023,-0.004961,0.009962
0.086658,492.781464,-0.814701,8.758666,-0.010476,0.00023,-0.005286,0.009313
0.097768,821.110474,-0.814701,8.758342,-0.010476,0.000878,-0.004961,0.009638
0.1111,1157.157959,-0.814376,8.758342,-0.010801,0.000554,-0.004961,0.009638
0.12221,1503.041138,-0.814376,8.758342,-0.010476,0.000554,-0.004637,0.009313
0.13332,1839.088623,-0.814376,8.76775,-0.010152,0.000878,-0.004961,0.009313
0.14443,2157.924072,-0.814052,8.76775,-0.010476,0.000554,-0.004961,0.009638
0.15554,2432.499512,-0.814376,8.767102,-0.010152,0.00023,-0.004961,0.009638
0.16665,2344.799316,-0.814052,8.767102,-0.010801,0.00023,-0.004961,0.009638
0.17776,2179.234375,-0.814052,8.757369,-0.010476,0.00023,-0.004961,0.009638
0.18887,2051.372314,-0.814052,8.758342,-0.010152,0.00023,-0.005286,0.008989
0.202202,363.561371,-0.814376,8.758342,-0.010152,0.000554,-0.004961,0.008989
0.213312,45.28936,-0.814052,8.768399,-0.010476,0.000878,-0.004637,0.009313
0.224422,10.595217,-0.814376,8.75964,-0.010476,0.000878,-0.004961,0.008989
0.237754,5.609232,-0.814376,8.759964,-0.010152,0.000554,-0.005286,0.009313
0.239976,3.947238,-0.814052,8.769697,-0.010152,0.000554,-0.004637,0.009313
0.246642,1.661995,-0.814376,8.761586,-0.010476,0.00023,-0.005286,0.009313
0.253308,1.661995,-0.814376,8.771319,-0.010476,0.00023,-0.004961,0.009638
0.264418,1.661995,-0.814701,8.762235,-0.010476,0.000878,-0.004961,0.009313
0.273306,2.077493,-0.814701,8.761911,-0.010801,0.00023,-0.004961,0.009313
0.284416,2.285243,-0.814701,8.761586,-0.010152,0.00023,-0.005286,0.009638
0.293304,2.285243,-0.814376,8.771968,-0.010476,0.000878,-0.004637,0.009313
