Test One

April-02-19,11:14:37 AM

(e.g.) Strength test for 0.5 inch diameter specimen without anealling.

02/04/2019,11:14:37 AM
Deflection (in),Force (lbf),Strain0,Strain1,Strain2,Strain3,Strain4,Strain5
        0.004444,        -0.077906,        -0.812754,         8.728818, -0.010476,         0.000878, -0.003988,         0.010611
        0.011110,        -0.077906,        -0.813079,         8.740822, -0.010476,         0.000878, -0.003988,         0.010611
        0.019998,        -0.285655,        -0.812754,         8.740498, -0.009827,         0.001203, -0.003663,         0.010611
        0.031108,        -0.493405,        -0.813079,         8.730116, -0.009827,         0.000878, -0.003988,         0.010286
        0.039996,        -0.701154,        -0.812754,         8.728818, -0.010476,         0.000878, -0.003988,         0.010611
        0.053328,        -0.908903,        -0.813079,         8.729792, -0.010152,         0.001203, -0.004312,         0.010611
        0.064438,        -1.116653,        -0.813079,         8.741471, -0.010152,         0.000878, -0.004637,         0.010935
        0.075548,        -1.324402,        -0.812754,         8.741471, -0.010152,         0.001203, -0.004312,         0.010611
        0.088880,        -0.701154,        -0.813403,         8.730116, -0.010152,         0.000878, -0.004312,         0.010286
        0.099990,         1.038747,        -0.813079,         8.741471, -0.010152,         0.000878, -0.003988,         0.010935
        0.113322,         1.454245,        -0.813403,         8.731089, -0.010152,         0.000554, -0.004312,         0.010611
        0.124432,         1.869744,        -0.812754,         8.742445, -0.010152,         0.000878, -0.003663,         0.010611
        0.135542,        39.472378,        -0.813403,         8.731089, -0.010152,         0.000878, -0.004312,         0.010611
        0.148874,       135.244827,        -0.813079,         8.743093, -0.009827,         0.000554, -0.004312,         0.010286
        0.159984,       249.506973,        -0.813079,         8.729792, -0.009827,         0.000554, -0.004312,         0.010286
        0.173316,       376.649567,        -0.813079,         8.742120, -0.010152,         0.000878, -0.003988,         0.010611
        0.184426,        55.884575,        -0.813727,         8.731089, -0.010152,         0.000554, -0.004312,         0.010286
        0.197758,         5.609232,        -0.813403,         8.731089, -0.010152,         0.000878, -0.003988,         0.010935
        0.208868,         0.623248,        -0.812754,         8.742445, -0.010152,         0.000878, -0.003988,         0.010935
        0.219978,         0.000000,        -0.812754,         8.741796, -0.010152,         0.000878, -0.004312,         0.010286
        0.222200,        -0.285655,        -0.813079,         8.742769, -0.010152,         0.000878, -0.003988,         0.010611
