Test One

April-02-19,10:40:19 AM

(e.g.) Strength test for 0.5 inch diameter specimen without anealling.

02/04/2019,10:40:19 AM
Deflection (in),Force (lbf),Strain0,Strain1,Strain2,Strain3,Strain4,Strain5
        0.002222,        -0.181781,        -0.813079,         8.750880, -0.010152,         0.001203, -0.003988,         0.010611
        0.011110,         0.986809,        -0.813403,         8.740822, -0.010476,         0.000878, -0.003988,         0.010286
        0.022220,         2.441055,        -0.813403,         8.741147, -0.010476,         0.000878, -0.004312,         0.010935
        0.035552,         2.648804,        -0.813727,         8.741147, -0.010476,         0.000878, -0.004312,         0.010286
        0.048884,         2.441055,        -0.813079,         8.750555, -0.010476,         0.001203, -0.003988,         0.010611
        0.064438,        97.174759,        -0.813079,         8.748933, -0.010476,         0.000878, -0.004637,         0.010611
        0.079992,       320.089813,        -0.813079,         8.741471, -0.010152,         0.000878, -0.004312,         0.010286
        0.095546,       585.801208,        -0.813079,         8.750880, -0.009827,         0.000878, -0.003988,         0.010286
        0.111100,       862.911499,        -0.812754,         8.752178, -0.010152,         0.000878, -0.004312,         0.010286
        0.126654,      1135.847656,        -0.812754,         8.751853, -0.010152,         0.000878, -0.004312,         0.010611
        0.142208,       393.009827,        -0.812754,         8.752178, -0.010152,         0.000878, -0.003988,         0.010935
        0.157762,        42.952179,        -0.813403,         8.742120, -0.010476,         0.000554, -0.004312,         0.009962
        0.175538,         6.596042,        -0.812754,         8.743093, -0.010152,         0.000554, -0.004312,         0.010286
